date,title,source,link,category,tier,companies,summary_1,summary_2,summary_3,popularity_signal
2026-02-25,The Battery From The World's First Production Solid-State EV Was Independently Tested And It Raises More Questions Than Answers,The Autopian,https://news.google.com/rss/articles/CBMi_wFBVV95cUxQYXJ3Q0w4cjBEaDRLanE3RTU4QktwQ01uTUtzTlpCVTh6alVXYktYUEZGZS16WktJVWw2RmlEMnJfa2UySFVJZzRaalBKaFB4ZC1sRHNCTUNvdWVYN1psdFcwS2pMbjBDNnN0Vi1LVjkyaTQ3THdsUTJOcV9yT09XM181M2FScDRrNWdkdVQzNXVJTEw3T0h0ZkxobXhPSXQtMmx0N1d2V09nU3Vkb05GZmI0R0RVV1daZENZVzVnQ1g2MG1uZHZHWHpnYWJsbEU0MXZIa0pMMlJ5LTRvM1B1Y21FQlJlOXpQaVJfX0UxQVU2Nl9kX2VjeFlwa3cydlk?oc=5,전고체,3,,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxQYXJ3Q0w4cjBEaDRLanE3RTU4QktwQ01uTUtzTlpCVTh6alVXYktYUEZGZS16WktJVWw2RmlEMnJfa2UySFVJZzRaalBKaFB4ZC1sRHNCTUNvdWVYN1psdFcwS2pMbjBDNnN0Vi1LVjkyaTQ3THdsUTJOcV9yT09XM181M2FScDRrNWdkdVQzNXVJTEw3T0h0ZkxobXhPSXQtMmx0N1d2V09nU3Vkb05GZmI0R0RVV1daZENZVzVnQ1g2MG1uZHZHWHpnYWJsbEU0MXZIa0pMMlJ5LTRvM1B1Y21FQlJlOXpQaVJfX0UxQVU2Nl9kX2VjeFlwa3cydlk?oc=5"" target=""_blank"">The Battery From The World's First Production Solid-State EV Was Independently Tested And It Raises More Questions Than Answers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Autopian</font>",해당 이슈는 전고체 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,The Autopian 보도를 바탕으로 핵심 내용을 확인했습니다.,trending
2026-02-25,"SK On signs 25,000-ton lithium supply deal with Posco",The Korea Herald,https://news.google.com/rss/articles/CBMiV0FVX3lxTFBuQXgyRjU1V0N4NUdNc2Y4MDJuV0dvRHpxU0FuQkI1Z3VNMjV4VUFoUmhPbUtLd1M4MTNnSVBnc09wbWZhb1VpNVc0cTBkdFA3WXNZQl80dw?oc=5,기타,3,,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTFBuQXgyRjU1V0N4NUdNc2Y4MDJuV0dvRHpxU0FuQkI1Z3VNMjV4VUFoUmhPbUtLd1M4MTNnSVBnc09wbWZhb1VpNVc0cTBkdFA3WXNZQl80dw?oc=5"" target=""_blank"">SK On signs 25,000-ton lithium supply deal with Posco</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Korea Herald</font>",해당 이슈는 기타 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,The Korea Herald 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Strengthening the Raw Materials Supply Chain: SK On Signs Lithium Purchase Agreement with POSCO Group,매일경제,https://news.google.com/rss/articles/CBMiU0FVX3lxTE9GZW1PWHQxckRuSHZsTjdZMEdmV1E3SERQMEY1anV3OElVTnRNOHZZSDcySnFudG9iVmU4QWRSQ2pOakdhMWdqdnhja2JOOWItUkN3?oc=5,기타,3,,"<a href=""https://news.google.com/rss/articles/CBMiU0FVX3lxTE9GZW1PWHQxckRuSHZsTjdZMEdmV1E3SERQMEY1anV3OElVTnRNOHZZSDcySnFudG9iVmU4QWRSQ2pOakdhMWdqdnhja2JOOWItUkN3?oc=5"" target=""_blank"">Strengthening the Raw Materials Supply Chain: SK On Signs Lithium Purchase Agreement with POSCO Group</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>",해당 이슈는 기타 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,매일경제 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Shared Future: Regulation and Contracting for Community Batteries,Dentons,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPNzhYcmEzUzNjdkdxcE4yM1d0cXBZQjFPNG1JZzdyQ0M0b3VvSThTRml4UVo4YVFTd1JPQXBRWjN4blA5WUJOeU8xcnVPNFNVY29tSXUzVmM5X0NaXzFxbmJTNVpLakVzUTg2TGxMQndkdkxVQVlwUkU1RC1UY1VvNGJpZFBGT3dvQ21pVjBVdFQzQ2pDTFc1cnVVX1VNMjNzamtlUWJBVkZ6MmRqdEF0dnZxNDBLS3Myc3dCWkdMYzZKZw?oc=5,정책,3,,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPNzhYcmEzUzNjdkdxcE4yM1d0cXBZQjFPNG1JZzdyQ0M0b3VvSThTRml4UVo4YVFTd1JPQXBRWjN4blA5WUJOeU8xcnVPNFNVY29tSXUzVmM5X0NaXzFxbmJTNVpLakVzUTg2TGxMQndkdkxVQVlwUkU1RC1UY1VvNGJpZFBGT3dvQ21pVjBVdFQzQ2pDTFc1cnVVX1VNMjNzamtlUWJBVkZ6MmRqdEF0dnZxNDBLS3Myc3dCWkdMYzZKZw?oc=5"" target=""_blank"">Shared Future: Regulation and Contracting for Community Batteries</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dentons</font>",해당 이슈는 정책 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Dentons 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,"Sodium-ion batteries lean heavily on lithium-ion expertise, patent analysis suggests",Tech Xplore,https://news.google.com/rss/articles/CBMigwFBVV95cUxOSFZQanp4Qm5aR0VrUUlMVFZiWmhtbl9oeGxqWGY1NGZJVlFRYm8zakdJTFIxVERaSWo2cV9Qd2NwdDFMc3ViVE4xY3lDNnZtWEgzUXJkZkNzSEd0dXcxTzFqSkNzOE91YTd3R2NVcE1pMzhpSDFDOVYxT2hXUktFWEx6dw?oc=5,나트륨,3,,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOSFZQanp4Qm5aR0VrUUlMVFZiWmhtbl9oeGxqWGY1NGZJVlFRYm8zakdJTFIxVERaSWo2cV9Qd2NwdDFMc3ViVE4xY3lDNnZtWEgzUXJkZkNzSEd0dXcxTzFqSkNzOE91YTd3R2NVcE1pMzhpSDFDOVYxT2hXUktFWEx6dw?oc=5"" target=""_blank"">Sodium-ion batteries lean heavily on lithium-ion expertise, patent analysis suggests</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tech Xplore</font>",해당 이슈는 나트륨 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Tech Xplore 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Samsung’s develops a solid-state silver-carbon battery breakthrough,IntelliNews,https://news.google.com/rss/articles/CBMipgFBVV95cUxNQnY2TmpWd2tWdndlUjZ4TzhtMkh1Tl9tUzkzbnJGaEJVNnlkaTYyd1BHNXkyMmxOY1lQb1NGakJmZ3lwSjNyZ1h6azFTbEtOaHRjUEZodnhvVFg5R1AxRVV4eklKYVZ4cXQzU2wtamJhSm9oaHMzRFhzWDZMTFVJY18wdXVIRUlSeGFYaDBPcGp1OERIUjhaUkc3SU1tQTNUSFN4b1dR?oc=5,전고체,3,,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNQnY2TmpWd2tWdndlUjZ4TzhtMkh1Tl9tUzkzbnJGaEJVNnlkaTYyd1BHNXkyMmxOY1lQb1NGakJmZ3lwSjNyZ1h6azFTbEtOaHRjUEZodnhvVFg5R1AxRVV4eklKYVZ4cXQzU2wtamJhSm9oaHMzRFhzWDZMTFVJY18wdXVIRUlSeGFYaDBPcGp1OERIUjhaUkc3SU1tQTNUSFN4b1dR?oc=5"" target=""_blank"">Samsung’s develops a solid-state silver-carbon battery breakthrough</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IntelliNews</font>",해당 이슈는 전고체 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,IntelliNews 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,World's first production solid-state battery built specifically for EVs delivers astonishing first test result,supercarblondie.com,https://news.google.com/rss/articles/CBMimwFBVV95cUxPejNiNEdyWUdsLUJOUVpMcE5SeVFfWk1NUmE4ckg2dUVJaGx6QzhiVktLWkdwN05PTm5nMklKVXZLTWVvR1hFZTVZN245eE9RSVZxbzJnNmUxNmc2c05DY3VSWFJRbmRHdW1XdHRXY1ZWX0lPMThsUDE2MEg0cF9zamZSTHpPQkwzNUNORDZ2VDVKU3k0d1dyaUtKaw?oc=5,전고체,3,,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPejNiNEdyWUdsLUJOUVpMcE5SeVFfWk1NUmE4ckg2dUVJaGx6QzhiVktLWkdwN05PTm5nMklKVXZLTWVvR1hFZTVZN245eE9RSVZxbzJnNmUxNmc2c05DY3VSWFJRbmRHdW1XdHRXY1ZWX0lPMThsUDE2MEg0cF9zamZSTHpPQkwzNUNORDZ2VDVKU3k0d1dyaUtKaw?oc=5"" target=""_blank"">World's first production solid-state battery built specifically for EVs delivers astonishing first test result</a>&nbsp;&nbsp;<font color=""#6f6f6f"">supercarblondie.com</font>",해당 이슈는 전고체 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,supercarblondie.com 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Breakthrough Achieved: Long-Standing Commercialization Challenge of Lithium “Dream Battery” Finally Overcome,Bioengineer.org,https://news.google.com/rss/articles/CBMiygFBVV95cUxOZVFwdWdTdllvTW91ZllQWGxPWHZHekVhQmFpUmNaNzlvU1JGdDBROFZabk8tdzJ1VXdoaE9pTl9fSE5mYTlQYUxUUTJFZkFUcVY2QkFPeXRGT3Y2cElFTFdGOHI3R0NkYjJVaFdLYlZOQm9hODgwQ3FCLUhZWTFPeDV3eks5OThBX3NuX3JTSzlyWHdPVnFxLVhMa1g1SnhkcmVqajY1bWhZZlJJSlFsVDJfUUNnV0toT2ZTcFVDY0E4OUt4cmxwckxR?oc=5,기타,3,,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOZVFwdWdTdllvTW91ZllQWGxPWHZHekVhQmFpUmNaNzlvU1JGdDBROFZabk8tdzJ1VXdoaE9pTl9fSE5mYTlQYUxUUTJFZkFUcVY2QkFPeXRGT3Y2cElFTFdGOHI3R0NkYjJVaFdLYlZOQm9hODgwQ3FCLUhZWTFPeDV3eks5OThBX3NuX3JTSzlyWHdPVnFxLVhMa1g1SnhkcmVqajY1bWhZZlJJSlFsVDJfUUNnV0toT2ZTcFVDY0E4OUt4cmxwckxR?oc=5"" target=""_blank"">Breakthrough Achieved: Long-Standing Commercialization Challenge of Lithium “Dream Battery” Finally Overcome</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bioengineer.org</font>",해당 이슈는 기타 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Bioengineer.org 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Minnesota Google Data Center Agreement Includes 300-MW Iron Air Battery System,American Public Power Association,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNZzZTT2QzaEt4eVJUZUdPTnk1ODJhZ2RNaDliWWZMTlMzNnJmalZJRkg4amgtTmNEM0VxWDVNdUYzdHk4V3ZOcnBHeWJYaU9UUzk0NTZ0ZnRraWpTcW1ONElHSXRJVUJabjJtM1JiVHNLUDdXbWI2dkk1ckw4SVpxRXdfOXpOTEw0MFRSaUxUb3Zzei1ERl9jb01qV2ZoVkc2U2VNamNQdGg3R2VuZFJfcExvb1N2Mk1QcjVIbDFUdksxdVU?oc=5,기타,3,,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNZzZTT2QzaEt4eVJUZUdPTnk1ODJhZ2RNaDliWWZMTlMzNnJmalZJRkg4amgtTmNEM0VxWDVNdUYzdHk4V3ZOcnBHeWJYaU9UUzk0NTZ0ZnRraWpTcW1ONElHSXRJVUJabjJtM1JiVHNLUDdXbWI2dkk1ckw4SVpxRXdfOXpOTEw0MFRSaUxUb3Zzei1ERl9jb01qV2ZoVkc2U2VNamNQdGg3R2VuZFJfcExvb1N2Mk1QcjVIbDFUdksxdVU?oc=5"" target=""_blank"">Minnesota Google Data Center Agreement Includes 300-MW Iron Air Battery System</a>&nbsp;&nbsp;<font color=""#6f6f6f"">American Public Power Association</font>",해당 이슈는 기타 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,American Public Power Association 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Ampere and Basquevolt sign joint development agreement to accelerate lithium metal-based battery technology for next-generation electric vehicles,Batteries News,https://news.google.com/rss/articles/CBMiggJBVV95cUxPeUgyMkdGUWpaR3Q2T1k4NlkxY20tR255QXYzV1E0bkJOMm9vb2dERzBXT1pkeUNBbkJvcEhIWVFib3V0V25aeUk0b2JXU3pZcTFXcHpPTURkR0ZncEwwTTlZS0lnYVBZa3ZmMzBQNDcxZ0lrQVRqVG5CVi1EWDNMbVg0dUtnclFtbVJFU1loOGp2YzJMQS1SdGxxeVR1Vlp6S3l4bjhEa0dBbmpCWUZZX2o3ajE1M25xQW00RWZnV3QyeWx1R2h5TGlHb3JJOWtHVlNNMGlfa2JyTHYyT2VtMDUtZHk2YmkzcktENWdtZGwwLXJtQU9kNGdZYWF0TXM1Mmc?oc=5,기타,3,,"<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxPeUgyMkdGUWpaR3Q2T1k4NlkxY20tR255QXYzV1E0bkJOMm9vb2dERzBXT1pkeUNBbkJvcEhIWVFib3V0V25aeUk0b2JXU3pZcTFXcHpPTURkR0ZncEwwTTlZS0lnYVBZa3ZmMzBQNDcxZ0lrQVRqVG5CVi1EWDNMbVg0dUtnclFtbVJFU1loOGp2YzJMQS1SdGxxeVR1Vlp6S3l4bjhEa0dBbmpCWUZZX2o3ajE1M25xQW00RWZnV3QyeWx1R2h5TGlHb3JJOWtHVlNNMGlfa2JyTHYyT2VtMDUtZHk2YmkzcktENWdtZGwwLXJtQU9kNGdZYWF0TXM1Mmc?oc=5"" target=""_blank"">Ampere and Basquevolt sign joint development agreement to accelerate lithium metal-based battery technology for next-generation electric vehicles</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Batteries News</font>",해당 이슈는 기타 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Batteries News 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
