date,title,source,link,category,tier,companies,summary_1,summary_2,summary_3,popularity_signal
2026-09-03,"‘전고체배터리 기술유출 일당 덜미’…지식재산처, 347명 검찰 송치",www.kukinews.com,https://www.kukinews.com/article/view/kuk202609030135,electrolyte,3,지식재산범죄수사대; 전고체배터리; 전고체전지,지식재산범죄수사대는 전고체 배터리 기술을 유출한 일당 347명을 검찰에 송치했습니다.,전고체 배터리는 기존 리튬이온 배터리의 액체 전해질을 고체로 대체하여 화재 및 폭발 위험을 줄인 차세대 기술입니다.,이번 사건은 차세대 배터리 기술 보호의 중요성을 다시 한번 강조합니다.,unknown
2026-09-03,"'포스코·이브이첨단소재 투자' 프롤로지움, 고밀도 전고체배터리 양산...",www.theguru.co.kr,https://www.theguru.co.kr/news/article.html?no=106675,전고체,3,포스코; 이브이첨단소재; 프롤로지움,포스코와 이브이첨단소재가 투자한 대만의 전고체 배터리 전문기업 프롤로지움이 고밀도 전고체 배터리 양산 기술을 확보했습니다.,"이 기술은 381Wh/kg의 고에너지 밀도를 갖춘 3.5세대 리튬 세라믹 전고체배터리에 대한 것으로, 글로벌 안전 인증까지 동시 획득했습니다.",프롤로지움은 이 기술을 통해 전고체 배터리 상용화를 주도할 것으로 기대됩니다.,unknown
2026-09-03,Chery targets 2027 vehicle validation for 400 Wh/kg all-solid-state battery,CnEVPost,https://news.google.com/rss/articles/CBMilAFBVV95cUxNX1FUVGdHc1BReUJWWnQ1WU9zMGhSRDJhZmxqTkFIendkWG1ZZ3VQazQwUGMxdEpsUk1vdkthLVZWQmlSYV9KMndFNmhSYXlQaXdHVmpJWFRFbE5NaDExT3VVWS1mdE9WZlNWM1lLWS01bnVPSktnZWRUOGxmM21kWDhzSFZnR3dYUmEyZlYtcTA5QURv?oc=5,전고체,3,Chery,중국 자동차 제조사 Chery는 2027년까지 400 Wh/kg 전고체 배터리의 차량 적용을 목표로 하고 있습니다.,이는 전고체 배터리 기술의 상용화를 위한 중요한 단계입니다.,Chery의 이러한 목표는 전고체 배터리 시장의 성장을 가속화할 것으로 예상됩니다.,unknown
2026-09-03,Geely to pilot 621-mile solid-state battery that could eventually power a Volvo,The Cool Down,https://news.google.com/rss/articles/CBMigwFBVV95cUxQLWw5R0otSk1qT1JxWl9zSjlnNFNFMlk3VEwzcE4yVGtLRUVhTlAtVy1HMjVsQ0dpaTZ3Z2l6RkRTY2FneG9qNE9iMHRVS2huM29tQzVrT1NvZHI4R1pqNW9uR201VElBR09jQzlab0lMN1RNUnRuS2JaQnJLaUxHbXZZUQ?oc=5,전고체,3,Geely; Volvo,"Geely는 621마일 주행 가능한 전고체 배터리를 파일럿 생산할 예정이며, 이는 향후 Volvo 차량에 탑재될 수 있습니다.",이 전고체 배터리는 기존 배터리보다 향상된 성능과 안전성을 제공할 것으로 기대됩니다.,이번 파일럿 생산은 전고체 배터리 기술의 상용화 가능성을 보여줍니다.,unknown
2026-09-03,"Chery to start solid-state battery real-world tests in 2027, chairman says",CarNewsChina.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxNR3Z6Z2tqd3Bsa1M1NllXWHN6MlRRUEI0N3dpSWZCY3JrU01HNnJlaDBwTWk5N05yVU5GQjFHV3A2SHNlZXdpNll0Nk9yUndONmkwNmZGNXhMU0w0MHM0N0ZyMTlNR204alpBQlJRMzVhcEhkMEdJaGwtNWNYazhIajV5UVZRYURBaDVqVnhJLTh6MTQtV1ktZjg2NVhOazA0RFRKVmdqUW1tWWVSV1JV?oc=5,전고체,3,Chery,Chery의 회장은 2027년부터 전고체 배터리를 탑재한 차량의 실제 도로 테스트를 시작할 것이라고 밝혔습니다.,이는 전고체 배터리 기술의 상용화를 위한 중요한 진전입니다.,이러한 테스트는 전고체 배터리의 성능과 안전성을 검증하는 데 도움이 될 것입니다.,unknown
2026-09-03,Solid-state battery hits 381 Wh/kg as mass production begins at Taiwan factory,Interesting Engineering,https://news.google.com/rss/articles/CBMingFBVV95cUxPN1BTc0t6NkhSWDd5WjhtUzZseWpLbmMycXZNN2xnNDFEaFFGLUpERG05ODhKQW5hcXgzNlc3RnZuT2c4WTNBYjlTNzlxdnN4TGxpZFpnMXd6VzdGZU9Sdkt2c1NiWGRoX05ydWxFdXU1TmthLVhiVENvQlY4V2FxUzI2aW5tSlZFSmNCTGg0a3hjbktOU25CQUdrRldwZw?oc=5,전고체,3,,대만 공장에서 381 Wh/kg의 전고체 배터리 대량 생산이 시작되었습니다.,"이 전고체 배터리는 높은 에너지 밀도를 자랑하며, 이는 차세대 배터리 기술의 중요한 성과입니다.",대량 생산의 시작은 전고체 배터리의 상용화 가능성을 높입니다.,unknown
2026-09-03,"나노실리칸첨단소재, 실리콘 음극재 혁신 기술... 연이은 특허 출원",weeklytrade.co.kr,https://weeklytrade.co.kr/news/view.html?section=1&category=5&item=&no=101279,anode,3,나노실리칸첨단소재; 이차전지,이차전지 소재 혁신 기업 나노실리칸첨단소재가 차세대 배터리의 핵심인 실리콘 음극재 관련 특허를 연이어 출원했습니다.,"이번에 출원된 특허들은 표면개질과 탄소코팅 기술을 포함하며, 실리콘 음극재의 성능 향상에 기여할 것으로 보입니다.",이는 나노실리칸첨단소재가 차세대 배터리 소재 기술 경쟁에서 입지를 강화하려는 노력의 일환입니다.,unknown
2026-09-03,BIS Restricts Exports of Black Mass From Lithium-Ion Battery Recycling and Tungsten Waste,Davis Wright Tremaine,https://news.google.com/rss/articles/CBMirAFBVV95cUxOdEFHdEpXbE90bV9wa3pncXRIMGFTRXMyOHpMeHo3dWdoQzZqX0tiVEJpOXV2dEVSXzBNWHpsZ01Xa1FqZUo3WFhfT09nNUFHbmxHYkxqSndJOFBtd1dJUFhraWdobGx0NGVQRU5laVJVaUJuMHd0TlRSUHNKQm1lcVBpU3VpOWRCemYyZ2pKNzZlU2pNNmZ1V2RnZGxKZEttTXRJX2Y2RXZjcHJF?oc=5,재활용,3,BIS,BIS는 리튬이온 배터리 재활용에서 나오는 블랙매스와 텅스텐 폐기물의 수출을 제한했습니다.,이는 배터리 재활용 원료의 안정적인 공급망 확보 및 전략적 중요성을 반영한 조치입니다.,이번 규제는 관련 산업에 영향을 미칠 수 있습니다.,unknown
2026-09-03,Electrolyte prices rose this week (2026.8.31-9.3) [SMM lithium battery electrolyte market weekly review],Shanghai Metals Market,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNYzRwUG5wYzZjSVctVnZJb2pIZGptZGZKZUp5MU1fc2ZnVjJlSnRBQVdHVkJSU2xUcnJfcXVkVFJIR040UERoLTFMY0JqOGRrMmdUck5IYUdZTVNtTzV1TUVVbTBoZWtkMG1Md1pqQTR5dWVVTWt1RGo2dk1rVmJNRlVUVWZsVEFmQmJhV09QTUFoM0U2akxDQTNZMnhacDlGSjBHWTQxRG1IaWpyTTVtMWliZHhPWjlMbVN5ZnFIanpzaDFMbmlSY0I1TlpFalpTNXFpRDRWTHBGSS1YTkE?oc=5,electrolyte,3,SMM,지난주(2026.8.31-9.3) 리튬 배터리 전해질 가격이 상승했습니다.,이는 시장의 수요와 공급 상황에 영향을 받은 결과입니다.,전해질 가격 변동은 배터리 생산 비용에 영향을 줄 수 있습니다.,unknown
2026-09-03,"Today, SMM battery-grade lithium carbonate spot prices edged down from",Shanghai Metals Market,https://news.google.com/rss/articles/CBMiuwFBVV95cUxON1JnSjRhekNkSDJBWlVoY0ExTmxuemxyNzZBb1FiNEgxWjEtS2FBSmJEc2hmZTBXVjJ1UVNwLWg5MlBNZDZXZmJfOVVfYzNuN0RVUHJPdE9Pa2ZhWFQzSUEzZHRLQUtTdDF2SWdLTEtvR2JueGN4elZTa3oxYjltQmhxOHo3OHF0TGdVeWlSWXFEX2xXeHZiZHk4emNyblQ3NldxTUZXMVRBU2x2N3NrYWhyYUpBbmRsemFn?oc=5,기타,3,SMM,오늘 배터리 등급 리튬 탄산염 현물 가격이 소폭 하락했습니다.,이는 시장의 수급 상황 변화를 반영하는 것입니다.,리튬 탄산염 가격 변동은 배터리 제조 비용에 영향을 미칠 수 있습니다.,unknown
2026-09-03,Why Is US Lithium Hydroxide Struggling to Build Momentum Despite a Stronger Global Battery Market?,ChemAnalyst,https://news.google.com/rss/articles/CBMitgFBVV95cUxPWEpCeTlFS0R2b1lPMWxFN05ZWTNUaXV1cVc2dUlJWE5aVDQ1WlV1SXZhSmMwWjJhM25vRTRqdFpMRFVmZkZLb0g1OFJQZ1ZmUXpHT1BIUlpHanY0NHBLbFFCLXAtcWxKRC13Vm5yMllaaklmd0xPaXBsalBDMENCMDhkYzRKV0RxVHJCZmEzYmltcXVsSEFvN01iOWw4VlRfQkk2MV9TSzNrbW5TaXFXaGdRSDd1dw?oc=5,cathode,3,ChemAnalyst; US,"글로벌 배터리 시장이 성장하고 있음에도 불구하고, 미국 수산화리튬은 모멘텀 확보에 어려움을 겪고 있습니다.",이는 미국 내 생산 및 공급망 문제와 관련이 있을 수 있습니다.,미국 수산화리튬 산업의 경쟁력 강화 방안 마련이 시급합니다.,unknown
2026-09-03,"""September peak season"" supply-demand tightening supports market conditions; graphitisation tolling prices raised across the board [SMM lithium battery anode raw material market weekly review]",Shanghai Metals Market,https://news.google.com/rss/articles/CBMi1gJBVV95cUxNel9NMnl1N0xNd1lvbTUtNUpUWlYzbFUwQ2NzN0pmZmhnSC1KbWVSMGtfWE1LVHlfQmRHNzBYRmhqb0lmb0lVS3d3S0RrMUhReG9DOE9TSlpyS0JxMWZwNjFuVmpQaGpsYkI3cWVuNjROeDQ4TmJTOVM2TllXd0o3a1FYbk9la1hmZnl6TzlSRW4zNHh4b2FNUjhhcy00Y2RqdWU4aU1ETHMwbENEbWFhZWpPTkNxZmFwNGJxQ1Zma05TWVF2TVE0RDdSTVQ3STdtdGI2emF5S1J5SjFPczYyMU9ZekVPYmNBNkF1T0o5RlFOYmZHZ1FMVXpxdF9OOGFOR282MEhLeTJpX0dYUUR6ZHA0YVJfdE56RkpxbXYxMFRVd0tHaFhRdWx6eVVWX2FwQmRzWUFUenQyNkVnV3pnUXdYRkNWd3E3cV9sQVlNWEZxLTMxUnc?oc=5,anode,3,SMM,"9월 성수기 공급과 수요의 타이트닝이 시장 상황을 지지하며, 흑연화 조업료가 전반적으로 인상되었습니다.",이는 배터리 음극재 원료 시장의 수급 불균형을 보여줍니다.,원료 가격 상승은 배터리 생산 비용 증가로 이어질 수 있습니다.,unknown
2026-09-03,Lithium Phosphate Coating Precursor Market Demand to Surge on Ionic-Conductive Electrode Coatings Through 2035,IndexBox,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQT1dyaXRCSHlOeFBGUm5wV0taNjVpdEdQdXZFVzg3RHNEQlZ4T05IMEJjX3NXYWUxZ21fcEFoTU9ETHkxeU12Q0N4VlQ2SmhhWndoaGItYzdoNFRIa3dKZ0FQdXFVSWlHc0djbHJydVhNWGVzRmM0VUlQelg0cklObGFOc1p2Z3R6WGZlQWlmQVJsWE5wQWQtLWh3c29EWXB3LTNJbE96RlQxTlhadmlSMEVPSC1BT2lmYWRtVWU1ZmpUMllGQnE3UmpRaUk5TkRjcVFrNnB2MA?oc=5,기타,3,IndexBox,리튬인산염 코팅 전구체 시장 수요가 2035년까지 이온 전도성 전극 코팅에 힘입어 급증할 것으로 예상됩니다.,이는 차세대 배터리 기술 개발과 밀접한 관련이 있습니다.,이러한 전구체는 배터리 성능 향상에 중요한 역할을 할 것입니다.,unknown
2026-09-03,K배터리 지도 다시 그린다…청주 셀·포항 소재·새만금 원료 '삼각축',www.wolyo.co.kr,https://www.wolyo.co.kr/news/articleView.html?idxno=317333,전고체,3,국가첨단전략산업,"한국 배터리 산업의 지도가 재편되고 있으며, 청주에는 셀, 포항에는 소재, 새만금에는 원료 생산 거점이 구축될 예정입니다.","전고체 배터리 성능 평가 시설, 나트륨 배터리 상용화 실증센터 등 다양한 인프라 구축이 검토되고 있습니다.",이는 한국 배터리 산업의 경쟁력 강화를 위한 중요한 움직임입니다.,unknown
2026-09-03,"KGM 호재 떴다, 中 체리차 회장 曰 ""전고체 배터리 실도로 테스트 시작할...",www.starnewskorea.com,https://www.starnewskorea.com/business-life/2026/09/03/2026090315592222505,전고체,3,KGM; 체리차,중국 체리차 회장은 2027년부터 전고체 배터리를 탑재한 차량의 실도로 테스트를 시작할 것이라고 밝혔습니다.,"이는 KGM의 호재로 작용할 수 있으며, 전고체 배터리 기술의 상용화 가능성을 높입니다.",체리차의 발표는 전고체 배터리 시장의 성장을 가속화할 것으로 예상됩니다.,unknown
2026-09-03,배터리 소재 '다중 기술 시대'…“비용·협력이 경쟁력 가른다”,www.etnews.com,https://www.etnews.com/20260903000258,cathode,3,전고체·소듐이온; LFP; NCM,"배터리 소재 시장은 리튬인산철(LFP)과 삼원계 중심에서 전고체, 소듐이온 등 복수 기술이 공존하는 구조로 재편되고 있습니다.",한중일 전문가들은 비용 경쟁력과 기업 간 협력이 차세대 시장 주도권을 좌우할 것이라고 전망했습니다.,이는 배터리 기술의 다변화와 시장 경쟁 심화를 예고합니다.,unknown
2026-09-03,"포스코홀딩스 에너지소재연구센터장 ""하이니켈, 안정화가 관건…LFP는 '...",www.theguru.co.kr,https://www.theguru.co.kr/news/article.html?no=106647,cathode,3,포스코홀딩스; 에너지소재; LFP,"포스코홀딩스 에너지소재연구센터장은 하이니켈 양극재의 안정화가 중요하며, LFP 배터리 시장도 주목해야 한다고 밝혔습니다.",또한 코발트 사용량을 줄이고 니켈 활용도를 높이는 '전구체 프리' 공법 개발의 중요성을 강조했습니다.,이는 차세대 배터리 소재 개발 방향에 대한 중요한 통찰을 제공합니다.,unknown
